Election_Id,State,State_Code,Constituency_No,Constituency_Key,Constituency_Name,Leading_Candidate,Leading_Party,Trailing_Candidate,Trailing_Party,Margin,Round,Status,Timestamp
2026_RESULTS,Puducherry,U07,4,U07-004,MANGALAM,N. RANGASAMY,All India N.R. Congress,S.S. RANGAN,Dravida Munnetra Kazhagam,7050,5/5,Result Declared,2026-05-04 15:08:29
2026_RESULTS,Puducherry,U07,1,U07-001,MANNADIPET,A. NAMASSIVAYAM,Bharatiya Janata Party,T.P.R. SELVAME,Indian National Congress,6110,4/4,Result Declared,2026-05-04 15:08:29
2026_RESULTS,Puducherry,U07,18,U07-018,MUDALIARPET,A. JOHNKUMAR,Bharatiya Janata Party,L. SAMBATH,Dravida Munnetra Kazhagam,2371,5/5,Result Declared,2026-05-04 15:08:29
2026_RESULTS,Puducherry,U07,13,U07-013,MUTHIALPET,VAIYAPURI MANIKANDAN,All India N.R. Congress,EERAM G. RAJENDRAN,Indian National Congress,952,4/4,Result Declared,2026-05-04 15:08:29
2026_RESULTS,Puducherry,U07,24,U07-024,NEDUNGADU,DR. V. VIGNESWARAN,Independent,C. CHANDIRA PRIYANGA,All India N.R. Congress,4499,3/3,Result Declared,2026-05-04 15:08:29
2026_RESULTS,Puducherry,U07,17,U07-017,NELLITHOPE,V. CARTIGUEYANE,Dravida Munnetra Kazhagam,OMSAKTHISEKAR,Independent,850,4/4,Result Declared,2026-05-04 15:08:29
2026_RESULTS,Puducherry,U07,28,U07-028,NERAVY-T.R.PATTINAM,TKSM MEENATCHISUNDARAM,Bharatiya Janata Party,M. NAGATHIYAGARAJAN (NTR),Dravida Munnetra Kazhagam,2018,3/3,Result Declared,2026-05-04 15:08:29
2026_RESULTS,Puducherry,U07,22,U07-022,NETTAPAKKAM,P. RAJAVELU,All India N.R. Congress,G. ANBARASAN,Indian National Congress,6689,6/6,Result Declared,2026-05-04 15:08:29
2026_RESULTS,Puducherry,U07,16,U07-016,ORLEAMPETH,G. NEHRU ALIAS COUPPOUSSAMY,Neyam Makkal Kazhagam,S. GOPAL,Dravida Munnetra Kazhagam,1201,4/4,Result Declared,2026-05-04 15:08:29
2026_RESULTS,Puducherry,U07,15,U07-015,OUPALAM,A ANBALAGAN,All India Anna Dravida Munnetra Kazhagam,S SIVA,Tamilaga Vettri Kazhagam,1026,4/4,Result Declared,2026-05-04 15:08:29
2026_RESULTS,Puducherry,U07,3,U07-003,OUSSUDU,P. KARTHIKEYAN,Indian National Congress,E. THEEPPAINTHAN,Bharatiya Janata Party,4018,4/4,Result Declared,2026-05-04 15:08:29
2026_RESULTS,Puducherry,U07,6,U07-006,OZHUKARAI,K.NARAYANASAMY ALIAS NITHYANANDAM,All India N.R. Congress,SASIBALAN,Tamilaga Vettri Kazhagam,3501,4/5,Result in Progress,2026-05-04 15:08:29
2026_RESULTS,Puducherry,U07,14,U07-014,RAJ BHAVAN,VIGNESH KANNAN,Dravida Munnetra Kazhagam,V. P. RAMALINGAME,Bharatiya Janata Party,287,4/4,Result Declared,2026-05-04 15:08:29
2026_RESULTS,Puducherry,U07,9,U07-009,THATTANCHAVADY,N. RANGASAMY,All India N.R. Congress,E. VINAYAGAM,Neyam Makkal Kazhagam,4441,4/4,Result Declared,2026-05-04 15:08:29
2026_RESULTS,Puducherry,U07,2,U07-002,THIRUBHUVANAI,AK. SAI J SARAVANAN KUMAR,Tamilaga Vettri Kazhagam,B. KOBIGA,All India N.R. Congress,701,4/4,Result Declared,2026-05-04 15:08:29
